"Huang, C Julia",FEMALE
"Hughes, April D",FEMALE
"Hugon, P.",FEMALE
"Hugon, Pascale",FEMALE
"Hüsken, Ute",FEMALE
"Inose, Yūri",FEMALE
"Jacoby, Sarah Hieatt",FEMALE
"Jacoby, Sarah H (Hieatt)",FEMALE
"Javanaud, Katie",FEMALE
"Jee, Lucy",FEMALE
"Jee, Hyekyung",FEMALE
"Jee, Hyekyung (Lucy)",FEMALE
"Jia, Jinhua",FEMALE
"Kalmanson, Leah",FEMALE
"Kanda, Fusae C",FEMALE
Karma Lekshe Tsomo BhiksíŁuníŁiíă,FEMALE
"Kasai, Yukiyo",FEMALE
"Kassor, Constance",FEMALE
"Kawahashi, Noriko",FEMALE
"Kawamoto, Kanae",FEMALE
"Kawanami, Hiroko",FEMALE
"Kellner, Birgit",FEMALE
"Kemmerer, Lisa",FEMALE
"Kenney, Elizabeth",FEMALE
"Kent, Alexandra",FEMALE
"Keta, Masako",FEMALE
"Khan, Dominique-Sila",FEMALE
"Kiblinger, Kristin Beise",FEMALE
"Kieffer-Puíölz, Petra",FEMALE
"Kieffer-Pülz, Petra",FEMALE
"Kieffer-Pülz, Petra",FEMALE
"Kikuchi, Hiroko",FEMALE
"Klein, Anne Carolyn",FEMALE
"Klein, Anne C (Anne Carolyn)",FEMALE
"Klokke, Marijke J",FEMALE
"Kobayashi, Naoko",FEMALE
"Komatsu, Kayoko",FEMALE
"Konczak, Ines",FEMALE
"Koppedrayer, Kay",FEMALE
"Köppl, Heidi I",FEMALE
"Kosar-Altinyelken, Hülya",FEMALE
"Kozyra, Agnieszka",FEMALE
"Kramer, Jowita",FEMALE
"Krey, Gisela",FEMALE
"Lim, Young-Ae",FEMALE
"Kumada, Naoko",FEMALE
"Kuroki, Masako",FEMALE
"Kyaw, Pyi Phyo",FEMALE
"Lai, Lai Lei Kuan Rongdao",FEMALE
"Lai, Rongdao",FEMALE
"Lai, Rongdao (Lai Lei Kuan Rongdao)",FEMALE
"Langenberg, Amy Paris",FEMALE
"Lau, Hi Po",FEMALE
"Lee, Sumi",FEMALE
"Legittimo, Elsa I",FEMALE
"Leigh, Janis",FEMALE
"Levering, Miriam",FEMALE
"Le Vine, Sarah",FEMALE
"Lewis, Sara",FEMALE
"Liao, Pei-Ru",FEMALE
"Liu, Cuilan",FEMALE
"Liu, Shufen",FEMALE
"Lomi, Benedetta",FEMALE
"López Sáenz, Maria Carmen",FEMALE
"Ludvik, Catherine",FEMALE
"MacDonald, Anne",FEMALE
"MacDonald, Claire",FEMALE
"Mack, Karen",FEMALE
"Main, Jessica L",FEMALE
"Main, Jessica L (Translator, ""Author of introduction, etc. "")",FEMALE
"Malandra, Geri H",FEMALE
"Manné, Joy",FEMALE
"McClintock, Sara",FEMALE
"McGarrity, Leah",FEMALE
"McRae, Emily Webb",FEMALE
"Meeks, Lori Rachelle",FEMALE
"Meeks, Lori Rachelle",FEMALE
"Meinert, Carmen",FEMALE
"Meinheit, Susan",FEMALE
"Meinheit, Susan",FEMALE
"Miller, Kristie",FEMALE
"Miller, W Blythe",FEMALE
"Monius, Anne E",FEMALE
"Moore, Elizabeth Howard",FEMALE
"Morcom, Anna",FEMALE
"Moto-Sanchez, Milla Micka",FEMALE
"Mross, Michaela",FEMALE
"Mross, Michaela (Translator, ""Author of introduction, etc. "", Annotator)",FEMALE
"Murphy, Anne",FEMALE
"Murphy, Regan E",FEMALE
"Nattier, Jan",FEMALE
"Neumaier, Eva K",FEMALE
"Ohnuma, Reiko",FEMALE
"Ostrowski, Ally",FEMALE
"Owen, Lisa Nadine",FEMALE
"Oyler, Elizabeth",FEMALE
"Park, Jin-young",FEMALE
"Paul, Diana Y",FEMALE
"Pedersen, K Priscilla",FEMALE
"Penkower, Linda L",FEMALE
"Plank, Katarina",FEMALE
"Porcu, Elisabetta",FEMALE
"Porcu, Elisabetta (Translator)",FEMALE
"Pouvkova, Boryana",FEMALE
"Preisendanz, Karin",FEMALE
"Prueitt, Catherine",FEMALE
"Raddock, Elisabeth",FEMALE
"Ratié, Isabelle",FEMALE
"Ratié, Isabelle",FEMALE
"Raymond, Catherine",FEMALE
"Renger, Almut-Barbara",FEMALE
"Riggs, Diane E",FEMALE
"Rocco, Sharn",FEMALE
"Rocha, Cristina",FEMALE
"Romberg, Claudia",FEMALE
"Roth, Carina",FEMALE
"Roth, Carina, 1971- (Translator)",FEMALE
"Saccone, Margherita",FEMALE
"Salgado, Nirmala S",FEMALE
"Salzberg, Sharon",FEMALE
"Sanders, Holly",FEMALE
"Sanders, Holly (Translator)",FEMALE
"Sango, Asuka",FEMALE
"Sango, Asuka",FEMALE
"Sasson, Vanessa R",FEMALE
"Schedneck, Brooke",FEMALE
"Scheible, Kristin",FEMALE
"Scherrer-Schaub, Cristina A (Cristina Anna)",FEMALE
"Scherrer-Schaub, Cristina Anna",FEMALE
"Scherrer-Schaub, Cristina Anna (Editor)",FEMALE
"Schlosser, Andrea",FEMALE
"Schneiderman, Jill S",FEMALE
"Schober, Juliane",FEMALE
"Schrempf, Mona",FEMALE
"Schuster, Nancy",FEMALE
"Scott, Rachelle M",FEMALE
"Sernesi, Marta",FEMALE
"Sharapan, Maria",FEMALE
"Shaw, Miranda",FEMALE
"Shaw, Sarah",FEMALE
"Shih, Heng-ching Bhikshuni",FEMALE
"Snodgrass, Judith",FEMALE
"Starkey, Caroline",FEMALE
"Starling, Jessica",FEMALE
"Starling, Jessica (Translator)",FEMALE
"Stokes, Leah",FEMALE
"Stone, Jacqueline Ilyse",FEMALE
"Stone, Jacqueline I (Jacqueline Ilyse)",FEMALE
"Stone, Jacqueline I (Jacqueline Ilyse), 1949- (Translator)",FEMALE
"Strandberg, Elisabeth",FEMALE
"Tannenbaum, Nicola Beth",FEMALE
"Tinsley, Elizabeth",FEMALE
"Tinsley, Elizabeth (Translator)",FEMALE
"Tomalin, Emma",FEMALE
"Törzsök, Judit",FEMALE
"Törzsök, Judit",FEMALE
"Travagnin, Stefania",FEMALE
"Travers, Alice",FEMALE
"Triplett, Katja",FEMALE
"Truschke, Audrey",FEMALE
"Tsang, Carol Richmond",FEMALE
"Turner, Alicia Marie",FEMALE
"Tythacott, Louise",FEMALE
"Ulrich, Katherine E",FEMALE
"Verchery, Lina",FEMALE
"Wallace, Vesna A",FEMALE
"Wallace, Vesna A.",FEMALE
"Watson, Gay",FEMALE
"Watt, Tessa",FEMALE
"Wenta, Aleksandra",FEMALE
"Williams, Liz",FEMALE
"Wilson, Frances A",FEMALE
"Wilson, Frances (Frances A)",FEMALE
"Wilson, Elizabeth Louise",FEMALE
"Wilson, Liz",FEMALE
"Wilson, Liz ( Elizabeth Louise)",FEMALE
"Windt, Jennifer M.",FEMALE
"Winfield, Pamela D",FEMALE
"Worsfold, Kay E",FEMALE
"Yoshimizu, Chizuko",FEMALE
"Young, Katherine K",FEMALE
"Zahler, Leah",FEMALE
"Zin, Monika",FEMALE
"Yangzong, Ciren",FEMALE
"Richard, Camille",FEMALE
"Manabe, Mayumi",FEMALE
"Manabe, Mayumi (Translator)",FEMALE
"Matsumoto, Ikuko",FEMALE
"Matsuoka, Hiroko",FEMALE
"Miyamoto, Yuki",FEMALE
Miyazaki Fumiko,FEMALE
"Moriya, Tomoe",FEMALE
"Neri, Chiara",FEMALE
"Nishimura, Ryō",FEMALE
"Okamura, Mihoko",FEMALE
"Okamura, Mihoko (""Author of introduction, etc. "", Compiler)",FEMALE
Padma'tsho,FEMALE
"Park, Pori",FEMALE
"Giang, Pham Thi Thu",FEMALE
"Reider, Noriko T",FEMALE
"Sekimori, Gaynor",FEMALE
"Sik, Fa Ren",FEMALE
"Sun, Jessie",FEMALE
"Usui, Atsuko",FEMALE
"Wakabayashi, Haruko",FEMALE
"Wakabayashi, Haruko Nishioka",FEMALE
"Zhu, Tianshu",FEMALE
"Lin, Nancy",FEMALE 
"Cantwell, Cathy",FEMALE
